CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       1236          0
    1      25         30         10        725        786         90
    2      25         35         10        912        969         90
    3      44          5         20        286        347         90
    4      42         10         40        186        257         90
    5      42         15         10         95        158         90
    6      40          5         30        385        436         90
    7      40         15         40         35         87         90
    8      38          5         30        471        534         90
    9      38         15         10        651        740         90
   10      35          5         20        562        629         90
