CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       3390          0
    1      10         35         20        781        941         90
    2      10         40         30        593        753         90
    3       8         40         40        685        845         90
    4       8         45         20       1346       1506         90
    5       5         35         10        876       1036         90
    6       5         45         10       1253       1413         90
    7       2         40         20        971       1131         90
    8       0         40         30       1063       1223         90
    9       0         45         20       1158       1318         90
   10      36         18         10       1819       1979         90
