CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       1236          0
    1      35         32         10        166        235         90
    2      33         32         20         68        149         90
    3      33         35         10         16         80         90
    4      32         30         10        359        412         90
    5      30         30         10        541        600         90
    6      30         32         30        448        509         90
    7      30         35         10       1054       1127         90
    8      28         30         10        632        693         90
    9      28         35         10       1001       1066         90
   10      26         32         10        815        880         90
