CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       1236          0
    1      60         60         10        836        889         90
    2      67         85         20        368        441         90
    3      65         85         40        475        518         90
    4      65         82         10        285        336         90
    5      62         80         30        196        239         90
    6      60         80         10         95        156         90
    7      60         85         30        561        622         90
    8      58         75         20         30         84         90
    9      55         80         10        743        820         90
    10     55         85         20        647        726         90
