CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       1236          0
    1      35         69         10        448        505         90
    2      25         85         20        652        721         90
    3      22         75         30         30         92         90
    4      22         85         10        567        620         90
    5      20         80         40        384        429         90
    6      20         85         40        475        528         90
    7      18         75         20         99        148         90
    8      15         75         20        179        254         90
    9      15         80         10        278        345         90
   10      30         50         10         10         73         90
