CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       3390          0
    1      35         69         10       2698       2858         90
    2      25         85         20       2119       2279         90
    3      22         75         30       2405       2565         90
    4      22         85         10       2026       2186         90
    5      20         80         40       2216       2376         90
    6      20         85         40       1934       2094         90
    7      18         75         20       2311       2471         90
    8      15         75         20       1742       1902         90
    9      15         80         10       1837       1997         90
   10      30         50         10         10        170         90
