CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       3390          0
    1      30         56         20       2983       3143         90
    2      28         52         20         22        182         90
    3      14         66         10       1643       1803         90
    4      25         50         10        116        276         90
    5      22         66         40       2504       2664         90
    6       8         62         10       1545       1705         90
    7      23         52         10        209        369         90
    8       4         55         20       1447       1607         90
    9      20         50         10        398        558         90
   10      20         55         10        303        463         90
