CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       3390          0
    1      60         60         10       1451       1611         90
    2      67         85         20        694        854         90
    3      42         58         40          8        168         90
    4      65         82         10        788        948         90
    5      62         80         30        881       1041         90
    6      62         40         10       3001       3161         90
    7      60         85         30        597        757         90
    8      58         75         20        978       1138         90
    9      55         80         10        407        567         90
   10      55         85         20        502        662         90
