CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       1236          0
    1      10         35         20        200        237         90
    2      10         40         30         31        100         90
    3       8         40         40         87        158         90
    4       8         45         20        751        816         90
    5       5         35         10        283        344         90
    6       5         45         10        665        716         90
    7       2         40         20        383        434         90
    8       0         40         30        479        522         90
    9       0         45         20        567        624         90
   10      35         30         10        264        321         90
