CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       3390          0
    1      95         35         20       2226       2386         90
    2      53         30         10        308        468         90
    3      92         30         10       2414       2574         90
    4      53         35         50        213        373         90
    5      45         65         20        118        278         90
    6      90         35         10       2131       2291         90
    7      72         45         10       2900       3060         90
    8      78         40         20       2802       2962         90
    9      87         30         10       2608       2768         90
   10      85         25         10       2513       2673         90
