CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       3390          0
    1      50         30         10        401        561         90
    2      50         35         20        120        280         90
    3      50         40         50         25        185         90
    4      48         30         10        493        653         90
    5      44         25         10        871       1031         90
    6      47         35         10        588        748         90
    7      47         40         10         12        172         90
    8      42         30         10        776        936         90
    9      45         35         10        680        840         90
   10      95         30         30       2321       2481         90
