CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       3390          0
    1      85         35         30       2703       2863         90
    2      75         55         20       1925       2085         90
    3      72         55         10       1832       1992         90
    4      70         58         20       1641       1801         90
    5      86         46         30       2029       2189         90
    6      66         55         10       1736       1896         90
    7      64         46         20       3097       3257         90
    8      65         60         30       1546       1706         90
    9      56         64         10       1355       1515         90
   10      60         55         10       3119       3279         90
