CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       1236          0
    1      95         35         20        293        360         90
    2      53         30         10        450        505         90
    3      92         30         10        478        551         90
    4      53         35         50        353        412         90
    5      45         65         20        997       1068         90
    6      90         35         10        203        260         90
    7      88         30         10        574        643         90
    8      88         35         20        109        170         90
    9      87         30         10        668        731         90
   10      85         25         10        769        820         90
