CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       1236          0
    1      50         30         10        531        610         90
    2      50         35         20        262        317         90
    3      50         40         50        171        218         90
    4      48         30         10        632        693         90
    5      48         40         10         76        129         90
    6      47         35         10        826        875         90
    7      47         40         10         12         77         90
    8      45         30         10        734        777         90
    9      45         35         10        916        969         90
   10      95         30         30        387        456         90
