CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       1236          0
    1      85         35         30         47        124         90
    2      75         55         20        369        420         90
    3      72         55         10        265        338         90
    4      70         58         20        458        523         90
    5      68         60         30        555        612         90
    6      66         55         10        173        238         90
    7      65         55         20         85        144         90
    8      65         60         30        645        708         90
    9      63         58         10        737        802         90
   10      60         55         10         20         84         90
