CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       3390          0
    1      35         32         10       2758       2918         90
    2      33         32         20       2666       2826         90
    3      33         35         10       2573       2733         90
    4      32         20         10       1913       2073         90
    5      30         30         10       2105       2265         90
    6      34         25         30       2009       2169         90
    7      30         35         10       2480       2640         90
    8      36         40         10       2856       3016         90
    9      48         20         10        967       1127         90
   10      26         32         10       2292       2452         90
