CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       3390          0
    1      25         30         10       2200       2360         90
    2      25         35         10       2385       2545         90
    3      44          5         20       1256       1416         90
    4      42         10         40       1160       1320         90
    5      42         15         10       1065       1225         90
    6      40          5         30       1350       1510         90
    7      38         15         40       1725       1885         90
    8      38          5         30       1442       1602         90
    9      38         10         10       1630       1790         90
   10      35          5         20       1535       1695         90
